0.000000	0.00034591
0.003752	0.00041158
0.007504	0.00048697
0.011256	0.00057293
0.015008	0.00067028
0.018759	0.00077977
0.022511	0.00090205
0.026263	0.00103764
0.030015	0.00118692
0.033767	0.00135005
0.037519	0.00152698
0.041271	0.00171740
0.045023	0.00192072
0.048774	0.00213605
0.052526	0.00236218
0.056278	0.00259759
0.060030	0.00284041
0.063782	0.00308850
0.067534	0.00333940
0.071286	0.00359042
0.075038	0.00383863
0.078789	0.00408095
0.082541	0.00431423
0.086293	0.00453523
0.090045	0.00474081
0.093797	0.00492789
0.097549	0.00509361
0.101301	0.00523538
0.105053	0.00535093
0.108804	0.00543838
0.112556	0.00549631
0.116308	0.00552378
0.120060	0.00552037
0.123812	0.00548619
0.127564	0.00542188
0.131316	0.00532861
0.135068	0.00520801
0.138819	0.00506219
0.142571	0.00489364
0.146323	0.00470520
0.150075	0.00449999
0.153827	0.00428133
0.157579	0.00405265
0.161331	0.00381749
0.165083	0.00357937
0.168834	0.00334173
0.172586	0.00310792
0.176338	0.00288113
0.180090	0.00266434
0.183842	0.00246030
0.187594	0.00227155
0.191346	0.00210035
0.195098	0.00194870
0.198849	0.00181836
0.202601	0.00171085
0.206353	0.00162745
0.210105	0.00156922
0.213857	0.00153702
0.217609	0.00153152
0.221361	0.00155323
0.225113	0.00160247
0.228864	0.00167943
0.232616	0.00178413
0.236368	0.00191647
0.240120	0.00207620
0.243872	0.00226295
0.247624	0.00247621
0.251376	0.00271534
0.255128	0.00297958
0.258879	0.00326809
0.262631	0.00357991
0.266383	0.00391398
0.270135	0.00426923
0.273887	0.00464449
0.277639	0.00503862
0.281391	0.00545048
0.285143	0.00587893
0.288894	0.00632293
0.292646	0.00678148
0.296398	0.00725370
0.300150	0.00773879
0.303902	0.00823607
0.307654	0.00874494
0.311406	0.00926489
0.315158	0.00979547
0.318909	0.01033627
0.322661	0.01088688
0.326413	0.01144685
0.330165	0.01201564
0.333917	0.01259263
0.337669	0.01317701
0.341421	0.01376782
0.345173	0.01436390
0.348924	0.01496386
0.352676	0.01556612
0.356428	0.01616891
0.360180	0.01677028
0.363932	0.01736815
0.367684	0.01796037
0.371436	0.01854474
0.375188	0.01911909
0.378939	0.01968136
0.382691	0.02022962
0.386443	0.02076213
0.390195	0.02127739
0.393947	0.02177419
0.397699	0.02225157
0.401451	0.02270889
0.405203	0.02314574
0.408954	0.02356195
0.412706	0.02395753
0.416458	0.02433259
0.420210	0.02468730
0.423962	0.02502176
0.427714	0.02533597
0.431466	0.02562972
0.435218	0.02590252
0.438969	0.02615356
0.442721	0.02638166
0.446473	0.02658525
0.450225	0.02676238
0.453977	0.02691075
0.457729	0.02702776
0.461481	0.02711063
0.465233	0.02715645
0.468984	0.02716237
0.472736	0.02712569
0.476488	0.02704409
0.480240	0.02691573
0.483992	0.02673944
0.487744	0.02651490
0.491496	0.02624275
0.495248	0.02592471
0.498999	0.02556371
0.502751	0.02516390
0.506503	0.02473071
0.510255	0.02427081
0.514007	0.02379205
0.517759	0.02330335
0.521511	0.02281457
0.525263	0.02233626
0.529015	0.02187950
0.532766	0.02145561
0.536518	0.02107588
0.540270	0.02075126
0.544022	0.02049206
0.547774	0.02030764
0.551526	0.02020616
0.555278	0.02019426
0.559030	0.02027682
0.562781	0.02045679
0.566533	0.02073500
0.570285	0.02111006
0.574037	0.02157831
0.577789	0.02213380
0.581541	0.02276838
0.585293	0.02347180
0.589045	0.02423193
0.592796	0.02503494
0.596548	0.02586564
0.600300	0.02670778
0.604052	0.02754442
0.607804	0.02835835
0.611556	0.02913245
0.615308	0.02985016
0.619060	0.03049584
0.622811	0.03105520
0.626563	0.03151565
0.630315	0.03186662
0.634067	0.03209988
0.637819	0.03220974
0.641571	0.03219320
0.645323	0.03205012
0.649075	0.03178316
0.652826	0.03139783
0.656578	0.03090235
0.660330	0.03030747
0.664082	0.02962626
0.667834	0.02887381
0.671586	0.02806692
0.675338	0.02722369
0.679090	0.02636316
0.682841	0.02550484
0.686593	0.02466835
0.690345	0.02387291
0.694097	0.02313699
0.697849	0.02247787
0.701601	0.02191128
0.705353	0.02145109
0.709105	0.02110897
0.712856	0.02089419
0.716608	0.02081344
0.720360	0.02087064
0.724112	0.02106693
0.727864	0.02140061
0.731616	0.02186724
0.735368	0.02245969
0.739120	0.02316832
0.742871	0.02398122
0.746623	0.02488445
0.750375	0.02586235
0.754127	0.02689790
0.757879	0.02797307
0.761631	0.02906922
0.765383	0.03016752
0.769135	0.03124935
0.772886	0.03229668
0.776638	0.03329248
0.780390	0.03422105
0.784142	0.03506836
0.787894	0.03582231
0.791646	0.03647297
0.795398	0.03701272
0.799150	0.03743642
0.802901	0.03774139
0.806653	0.03792746
0.810405	0.03799690
