# Freq(THz)	Branch_1	Branch_2	Branch_3	Total
0.3852	0.266570	0.102630	0.004543	0.373743
0.3887	0.268121	0.103220	0.004507	0.375848
0.3922	0.269748	0.103833	0.004457	0.378037
0.3957	0.271458	0.104472	0.004394	0.380324
0.3992	0.273259	0.105141	0.004320	0.382720
0.4027	0.275155	0.105842	0.004235	0.385232
0.4062	0.277148	0.106578	0.004143	0.387868
0.4097	0.279236	0.107351	0.004045	0.390632
0.4132	0.281420	0.108164	0.003942	0.393526
0.4167	0.283692	0.109019	0.003838	0.396549
0.4202	0.286048	0.109918	0.003734	0.399699
0.4237	0.288478	0.110861	0.003632	0.402970
0.4272	0.290972	0.111849	0.003535	0.406356
0.4307	0.293518	0.112884	0.003445	0.409847
0.4342	0.296103	0.113965	0.003364	0.413432
0.4377	0.298713	0.115091	0.003295	0.417099
0.4412	0.301333	0.116263	0.003240	0.420836
0.4447	0.303950	0.117478	0.003199	0.424628
0.4482	0.306548	0.118735	0.003176	0.428459
0.4517	0.309113	0.120031	0.003172	0.432315
0.4552	0.311631	0.121362	0.003188	0.436182
0.4587	0.314090	0.122727	0.003226	0.440043
0.4622	0.316479	0.124120	0.003285	0.443884
0.4657	0.318787	0.125537	0.003368	0.447692
0.4692	0.321007	0.126974	0.003474	0.451454
0.4727	0.323132	0.128424	0.003602	0.455158
0.4762	0.325157	0.129883	0.003754	0.458793
0.4797	0.327078	0.131345	0.003927	0.462351
0.4832	0.328896	0.132805	0.004121	0.465822
0.4867	0.330611	0.134257	0.004334	0.469201
0.4902	0.332224	0.135695	0.004564	0.472483
0.4937	0.333740	0.137115	0.004810	0.475665
0.4972	0.335165	0.138511	0.005068	0.478744
0.5008	0.336505	0.139880	0.005336	0.481721
0.5043	0.337768	0.141217	0.005612	0.484597
0.5078	0.338964	0.142520	0.005891	0.487374
0.5113	0.340103	0.143785	0.006171	0.490058
0.5148	0.341195	0.145011	0.006447	0.492654
0.5183	0.342252	0.146198	0.006718	0.495168
0.5218	0.343286	0.147343	0.006979	0.497608
0.5253	0.344307	0.148448	0.007227	0.499983
0.5288	0.345329	0.149513	0.007460	0.502302
0.5323	0.346361	0.150539	0.007673	0.504574
0.5358	0.347415	0.151528	0.007866	0.506809
0.5393	0.348502	0.152481	0.008034	0.509017
0.5428	0.349629	0.153402	0.008178	0.511208
